담당자 이름,부서명,제목,등록일,전화번호,조회수,URL
손동락,청소년보호환경과,청소년유해환경감시단 현황,2024-04-03,02-2100-6299,6455,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=153
최윤정,청소년활동안전과,2023년 청소년수련활동 인증현황,2024-04-02,02)2100-6267,139,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704836
김태형,청소년보호환경과,청소년유해매체물 일반심의기준 및 개별심의기준,2024-04-01,02-2100-6302,883,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704813
오동훈,청소년활동진흥과,우수 청소년활동  프로그램 지원사업 운영기관 선정결과,2024-04-01,02-2100-6254,4068,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=194
오동훈,청소년활동진흥과,우수 청소년활동 프로그램 지원사업 운영기관 모집 공고,2024-04-01,02-2100-6254,3692,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=193
정윤경,청소년활동진흥과,국가간 청소년 교류 약정체결 및 교류현황,2024-04-01,02-2100-6256,3910,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=187
정세미,청소년보호환경과,청소년 인터넷.스마트폰 과의존 시도별 상담기관 현황,2024-04-01,02-2100-6297,9464,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=160
손동락,청소년보호환경과,청소년유해매체물(음반 및 음악파일) 심의세칙,2024-04-01,02-2100-6299,4234,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=158
김태형,청소년보호환경과,청소년유해매체물 결정·고시 현황,2024-04-01,02-2100-6302,6949,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=156
이경민,청소년활동안전과,2023년도 청소년수련시설 현황,2024-02-28,02)2100-6266,480,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704835
이명주,청소년정책과,2024년 지자체 청소년 정책 담당 워크숍 교육자료,2024-02-19,02)2100-6241,442,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704834
김서영,청소년자립지원과,위기청소년 지원기관 이용자 생활실태조사,2024-01-15,02)2100-6280,4664,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704811
김서영,청소년자립지원과,청소년상담사 양성현황,2024-01-15,02-2100-6280,4732,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704778
김서영,청소년자립지원과,청소년상담1388,2024-01-15,02-2100-6280,7700,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=167
정이석,청소년자립지원과,청소년안전망 사업 안내,2024-01-15,02-2100-6277,17362,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=166
이유정,청소년자립지원과,"청소년쉼터, 청소년자립지원관 운영현황",2024-01-15,02-2100-6281,18296,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=164
김서영,청소년자립지원과,청소년 동반자 사업,2024-01-15,02-2100-6280,12693,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=163
정이석,청소년자립지원과,전국청소년상담복지센터현황,2024-01-15,02-2100-6277,14275,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=162
윤지현,청소년정책과, 2024년 청소년사업 안내,2024-01-12,02)2100-6235,6483,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704833
이경민,청소년활동안전과,2024년도 청소년수련시설 관리운영 지침,2024-01-09,02)2100-6266,1197,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc502&bbtSn=704832
